Tematica,Candidato,Propuesta
"Rol del Estado / Economía","Jeannette Jara","Propone un Estado activo que coordine inversión pública y privada, fortalezca la protección social y reduzca desigualdades estructurales. Busca avanzar hacia una economía más inclusiva y con equilibrio territorial."
"Rol del Estado / Economía","José Antonio Kast","Promueve libertad de mercado con baja intervención estatal, simplificación regulatoria y fortalecimiento del emprendimiento. Busca reducir impuestos y reactivar la inversión privada."
"Rol del Estado / Economía","Johannes Kaiser","Defiende un Estado mínimo centrado en funciones básicas, con reducción drástica de burocracia y carga tributaria. Promueve la privatización de empresas públicas."
"Rol del Estado / Economía","Evelyn Matthei","Postula un Estado moderno y eficiente, con reducción de ministerios, mejor gestión pública y alianzas público-privadas para potenciar el crecimiento."

"Seguridad / Orden Público","Jeannette Jara","Busca fortalecer instituciones policiales bajo control civil, mejorar inteligencia y priorizar prevención comunitaria. Propone combate al crimen con enfoque en derechos humanos."
"Seguridad / Orden Público","José Antonio Kast","Plantea una estrategia implacable contra el crimen organizado, con aumento de penas, expulsiones rápidas y mayor apoyo a Carabineros para recuperar el orden."
"Seguridad / Orden Público","Johannes Kaiser","Promueve mayor uso legítimo de la fuerza, simplificación penal y fortalecimiento de autodefensa regulada. Propone endurecer penas y limitar beneficios carcelarios."
"Seguridad / Orden Público","Evelyn Matthei","Declara la seguridad como prioridad central del Estado. Busca modernizar policías, mejorar coordinación con fiscalía y desarticular bandas mediante inteligencia y tecnología."

"Trabajo / Empleo / Protección Social","Jeannette Jara","Propone mejorar calidad del empleo, fortalecer negociación colectiva y ampliar protección social. Enfatiza inclusión laboral y seguridad económica para mujeres y jóvenes."
"Trabajo / Empleo / Protección Social","José Antonio Kast","Promueve empleo basado en crecimiento económico, menos burocracia y mayor flexibilidad laboral. Plantea incentivos tributarios para PYMES."
"Trabajo / Empleo / Protección Social","Johannes Kaiser","Busca flexibilizar profundamente el mercado laboral y eliminar regulaciones que aumentan costos. Fomenta uso de vouchers para capacitación autónoma."
"Trabajo / Empleo / Protección Social","Evelyn Matthei","Promueve políticas activas de empleo, capacitación tecnológica y mayor participación laboral de mujeres. Propone corresponsabilidad Estado-privados."

"Educación / Salud / Bienestar","Jeannette Jara","Impulsa fortalecimiento de educación y salud públicas, reducción de brechas territoriales y financiamiento estable. Busca avances en universalidad del acceso."
"Educación / Salud / Bienestar","José Antonio Kast","Defiende libertad de elección en educación y salud, promoviendo un modelo mixto donde el sector privado tenga alto protagonismo y eficiencia en el gasto."
"Educación / Salud / Bienestar","Johannes Kaiser","Propone sistema completamente liberalizado basado en vouchers, reduciendo el rol estatal como prestador directo y ampliando la competencia entre proveedores."
"Educación / Salud / Bienestar","Evelyn Matthei","Busca mejorar gestión de la educación y salud públicas mediante digitalización, infraestructura y alianzas público-privadas. Prioriza reducir listas de espera."

"Minería / Energía","Jeannette Jara","Propone gobernanza estatal del litio con alianzas público-privadas y estándares ambientales exigentes. Fomenta energías limpias y desarrollo responsable del territorio."
"Minería / Energía","José Antonio Kast","Promueve inversión privada en minería y reducción de trabas burocráticas para acelerar proyectos. Busca competitividad energética con menor intervención estatal."
"Minería / Energía","Johannes Kaiser","Propone liberalización total del sector, privatización de CODELCO y reducción significativa de regulaciones ambientales para favorecer inversión."
"Minería / Energía","Evelyn Matthei","Plantea una Estrategia Nacional de Minerales Críticos, incorporando tecnología y apertura a inversión privada. Promueve energías renovables competitivas."

"Medio Ambiente / Cambio Climático","Jeannette Jara","Impulsa transición ecológica justa, protección de ecosistemas y fortalecimiento de la institucionalidad ambiental. Propone inversión estatal en adaptación climática."
"Medio Ambiente / Cambio Climático","José Antonio Kast","Promueve equilibrio entre desarrollo económico y protección ambiental, evitando regulaciones que frenen proyectos estratégicos para el país."
"Medio Ambiente / Cambio Climático","Johannes Kaiser","Minimiza la prioridad estatal en cambio climático, reduciendo restricciones ambientales que considera ideológicas. Fomenta explotación intensiva de recursos."
"Medio Ambiente / Cambio Climático","Evelyn Matthei","Busca avanzar a la carbono neutralidad mediante innovación verde, eficiencia energética e incentivos para empresas que reduzcan su impacto ambiental."

"Género / Diversidad","Jeannette Jara","Promueve igualdad salarial, corresponsabilidad y erradicación de violencia de género. Propone fortalecer el Ministerio de la Mujer y programas preventivos."
"Género / Diversidad","José Antonio Kast","Pone énfasis en seguridad de las mujeres, apoyo a la familia y prevención del delito. Mantiene posiciones conservadoras en diversidad sexual."
"Género / Diversidad","Johannes Kaiser","Propone eliminar institucionalidad de género y reducir programas asociados, argumentando que generan gasto innecesario y sesgo ideológico."
"Género / Diversidad","Evelyn Matthei","Fortalece políticas contra la violencia de género y apoyo a mujeres en el trabajo. Enfatiza corresponsabilidad sin expansión institucional excesiva."

"Descentralización","Jeannette Jara","Busca fortalecer gobiernos regionales otorgando más competencias, financiamiento estable y autonomía en proyectos locales."
"Descentralización","José Antonio Kast","Promueve descentralización administrativa moderada, evitando duplicidades institucionales y manteniendo control nacional estratégico."
"Descentralización","Johannes Kaiser","Propone recentralizar funciones para reducir costos y aumentar eficiencia, evitando expansión de gobiernos regionales."
"Descentralización","Evelyn Matthei","Plantea mayor autonomía regional con evaluación de resultados y fortalecimiento de capacidades locales."

"Pensiones","Jeannette Jara","Propone un sistema mixto con componente solidario fuerte, administrado parcialmente por el Estado. Busca pensiones dignas y redistribución."
"Pensiones","José Antonio Kast","Defiende capitalización individual y fortalecimiento de AFP, con incentivos para aumentar el ahorro personal y la autonomía del trabajador."
"Pensiones","Johannes Kaiser","Propone libertad total de elección de administradoras privadas sin intervención estatal, eliminando cualquier componente solidario obligatorio."
"Pensiones","Evelyn Matthei","Propone sistema mixto con un pilar solidario financiado por impuestos y uno de ahorro individual, buscando equilibrio entre solidaridad y responsabilidad."

"Vivienda","Jeannette Jara","Plantea un plan nacional de vivienda pública, cooperativa y social, priorizando integración barrial y acceso equitativo."
"Vivienda","José Antonio Kast","Propone incentivar oferta privada, agilizar permisos y flexibilizar normas urbanísticas para aumentar la construcción."
"Vivienda","Johannes Kaiser","Propone eliminar regulaciones territoriales, subsidios y trabas que encarecen la vivienda, dejando el mercado actuar libremente."
"Vivienda","Evelyn Matthei","Busca acelerar construcción mediante alianzas público-privadas, optimización de permisos y mejores estándares urbanos."

"Migración","Jeannette Jara","Promueve regularización con enfoque humanitario, control fronterizo eficiente y políticas de integración social."
"Migración","José Antonio Kast","Propone fronteras estrictas, expulsiones rápidas y migración altamente selectiva enfocada en seguridad nacional."
"Migración","Johannes Kaiser","Plantea cierre casi total de fronteras y restricción severa a visas y beneficios estatales para migrantes."
"Migración","Evelyn Matthei","Busca migración regulada, fortalecimiento del control fronterizo y acuerdos internacionales para retornos."

"Relaciones Internacionales","Jeannette Jara","Defiende multilateralismo, integración latinoamericana y un enfoque de derechos humanos como eje de la política exterior."
"Relaciones Internacionales","José Antonio Kast","Propone profundizar relaciones con EE.UU., Israel y economías desarrolladas, alejándose de alianzas con gobiernos de izquierda."
"Relaciones Internacionales","Johannes Kaiser","Busca relaciones pragmáticas centradas en comercio y seguridad, limitando participación en organismos multilaterales."
"Relaciones Internacionales","Evelyn Matthei","Promueve política exterior equilibrada, fortalecimiento de tratados comerciales y liderazgo regional."

"Ciencia / Tecnología / Innovación","Jeannette Jara","Plantea inversión estatal en investigación y desarrollo, fortaleciendo universidades públicas y ecosistemas de innovación."
"Ciencia / Tecnología / Innovación","José Antonio Kast","Propone incentivos tributarios a empresas innovadoras y fomento de emprendimientos tecnológicos."
"Ciencia / Tecnología / Innovación","Johannes Kaiser","Promueve ecosistema tecnológico completamente libre, sin fondos públicos, favoreciendo competencia privada."
"Ciencia / Tecnología / Innovación","Evelyn Matthei","Busca desarrollar innovación con colaboración público-privada, enfocándose en digitalización y automatización."

"Modernización del Estado","Jeannette Jara","Propone mayor regulación, transparencia, meritocracia y fortalecimiento administrativo para un Estado eficiente."
"Modernización del Estado","José Antonio Kast","Busca reducir tamaño del Estado, eliminar burocracia y fusionar ministerios para bajar costos."
"Modernización del Estado","Johannes Kaiser","Promueve Estado mínimo, privatización de servicios públicos y eliminación de regulaciones amplias."
"Modernización del Estado","Evelyn Matthei","Propone profesionalización del sector público, metas de desempeño y digitalización completa del Estado."

"Cultura / Patrimonio","Jeannette Jara","Promueve cultura como derecho social, con inversión estatal en infraestructura y acceso cultural."
"Cultura / Patrimonio","José Antonio Kast","Impulsa financiamiento cultural privado, priorizando proyectos sin orientación ideológica."
"Cultura / Patrimonio","Johannes Kaiser","Cuestiona gasto cultural estatal y propone un mercado cultural basado en oferta y demanda."
